Subject,LOCATION,Country,Interest-Rate,Year,Month
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,2.5,2014,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,2.5,2014,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,2.5,2014,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,2.5,2014,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,2.5,2014,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,2.5,2014,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,2.5,2014,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,2.5,2014,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,2.5,2014,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,2.5,2014,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,2.5,2014,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,2.5,2015,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,2.28,2015,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,2.25,2015,3
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,2.25,2015,4
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,2.04,2015,5
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,2.0,2015,6
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,2.0,2015,7
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,2.0,2015,8
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,2.0,2015,9
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,2.0,2015,10
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,2.0,2015,11
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,2.0,2015,12
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,2.0,2016,1
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,2.0,2016,2
"Immediate interest rates, Call Money, Interbank Rate, Per cent per annum",AUS,Australia,2.0,2016,3
