Date,Open,High,Low,Close
31/07/2012,97.6,108.18,95.3,104.92
29/06/2012,101.69,102.45,88.49,97.8
31/05/2012,119.28,120.02,101.27,101.87
30/04/2012,122.94,125.97,116.7,119.47
30/03/2012,123,128.4,120.97,122.88
29/02/2012,111.3,125.55,111.02,122.66
31/01/2012,108.35,115.12,108.35,110.98
30/12/2011,110.75,111.62,102.37,107.38
30/11/2011,109.09,116.48,105.65,110.52
31/10/2011,102,114.8,99.11,109.56
30/09/2011,114.85,116.6,101.66,102.76
31/08/2011,117,120.4,98.74,114.85
29/07/2011,111.8,119.87,109.5,116.74
30/06/2011,117.07,121.47,102.28,112.48
31/05/2011,126.1,126.54,105.15,116.73
29/04/2011,117.61,127.02,116.75,125.89
31/03/2011,111.9,118.5,107.35,117.36
28/02/2011,101.01,119.79,97.51,111.8
31/01/2011,94.75,101.73,92.37,101.01
31/12/2010,85.71,95.2,85.41,94.75
30/11/2010,83.13,89.7,82.43,85.92
29/10/2010,82.21,86.02,80.75,83.15
30/09/2010,74.46,82.4,74.42,82.31
31/08/2010,78.11,82.86,71.75,74.64
30/07/2010,74.65,78.31,70.77,78.18
30/06/2010,74.82,79.86,70.5,75.01
31/05/2010,87.44,89.58,68.15,74.65
30/04/2010,82.44,87.75,82.22,87.44
31/03/2010,77.69,82.82,76.21,82.7
26/02/2010,71.35,78.94,67.87,77.59
29/01/2010,78.49,82.45,71.02,71.46
31/12/2009,78.42,79.91,71.02,77.93
30/11/2009,75.24,80.14,73.7,78.47
30/10/2009,68.92,80.26,65.9,75.2
30/09/2009,69.65,72.2,64.08,69.07
31/08/2009,71.98,76,68.85,69.65
31/07/2009,69.9,72.12,59.49,71.7
30/06/2009,65.77,73.5,64.91,69.3
29/05/2009,50.7,65.8,49.96,65.52
30/04/2009,48.37,54.31,47.26,50.8
31/03/2009,45.56,53.86,41.3,49.23
27/02/2009,46.06,48.42,39.35,46.35
30/01/2009,43.85,52.21,41.6,45.88
31/12/2008,53,53,36.2,45.59
28/11/2008,64.3,67.76,47.4,53.49
31/10/2008,99.45,100.31,59.02,65.32
30/09/2008,115.5,115.56,88.9,98.17
29/08/2008,123.42,127.94,110.31,114.05
31/07/2008,140.44,147.5,120.88,123.98
30/06/2008,127.22,143.91,121.32,139.83
30/05/2008,112.74,135.14,108.42,127.78
